INFO_SATNAME,INFO_NORAD_NUMBER,INFO_OBJECT_TYPE,INFO_TYPE_OF_ORBIT,INFO_COUNTRY,INFO_CLASS_OF_ORBIT,PERIOD,INCLINATION,APOGEE,PERIGEE,LAUNCH_YEAR,CURRENT,EXPECTED_LIFETIME_YRS,LAUNCH_MASS_KG,TIME_IN_ORBIT,COUNTRY_GROUPED_CIS,COUNTRY_GROUPED_PRC,COUNTRY_GROUPED_REST,COUNTRY_GROUPED_UK,COUNTRY_GROUPED_US,PURPOSE_COMMUNICATIONS,PURPOSE_EARTH_OBSERVATION,PURPOSE_OTHER,PURPOSE_TECHNOLOGY_DEVELOPMENT,RCS_SIZE_ENC,CLASS_OF_ORBIT_ENC
STARLINK-4609,53619,PAYLOAD,Non-Polar Inclined,US,LEO,0.006032489476492556,0.5398274987316082,0.010968870622865235,0.011387221630111629,0.956521739130423,1.0,0.15384615384615385,0.04203323558162268,0.06708160442600275,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
LEMUR 2 PAPPY,44861,PAYLOAD,Non-Polar Inclined,US,LEO,0.0014821841465583602,0.3746321664129883,0.002804698564327567,0.0027766870477365794,0.8260869565217348,0.0,0.07692307692307693,0.0013033561420658195,0.14142461964038727,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0
GRUS-1C,47933,PAYLOAD,Sun-Synchronous,JPN,LEO,0.006551253927787992,0.9900558092338914,0.01210741162422593,0.012088405228024906,0.9130434782608603,1.0,0.23076923076923078,0.01596611274030629,0.12747810050714614,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0
STARLINK-1596,46141,PAYLOAD,Non-Polar Inclined,US,LEO,0.005854627378905561,0.5382039573820395,0.010635639110271862,0.011050653503113256,0.8695652173912976,1.0,0.15384615384615385,0.04203323558162268,0.1523743660673121,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-4368,53234,PAYLOAD,Sun-Synchronous,US,LEO,0.006388213671666573,0.9907661085743276,0.011635333648051985,0.012004263196275315,0.956521739130423,1.0,0.15384615384615385,0.04203323558162268,0.07134624250806823,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
MULTIFUNCTION TEST SAT,46233,PAYLOAD,Sun-Synchronous,PRC,LEO,0.00257158949427877,0.986910197869102,0.0047763183471716975,0.004880237841476412,0.8695652173912976,0.0,0.015384615384615385,0.012463343108504398,0.121830336560627,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0
SKYSAT C5,41772,PAYLOAD,Sun-Synchronous,US,LEO,0.004772632951917946,0.985185185185185,0.008802865791008304,0.008947102709373423,0.6956521739130324,1.0,0.13846153846153847,0.01759530791788856,0.31742738589211617,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0
STARLINK-5713,55578,PAYLOAD,Non-Polar Inclined,US,LEO,5.1876445129550586e-05,0.43581938102486045,8.330787814834345e-05,0.0001682840634991867,1.0,0.0,0.15384615384615385,0.0469208211143695,0.0289303826648225,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-3237,49726,PAYLOAD,Non-Polar Inclined,US,LEO,0.00043724432323472007,0.539421613394216,0.0008608480741995501,0.000841420317495933,0.9130434782608603,0.0,0.15384615384615385,0.04203323558162268,0.05555555555555556,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
GAOFEN 13 02,55912,PAYLOAD,,PRC,GEO,0.9996072212011621,0.014104515474378488,0.9901696703784955,0.9995512424973355,1.0,1.0,0.6307692307692309,0.7491039426523298,0.043914246196403876,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6666666666666666
