INFO_SATNAME,INFO_NORAD_NUMBER,INFO_OBJECT_TYPE,INFO_TYPE_OF_ORBIT,INFO_COUNTRY,INFO_CLASS_OF_ORBIT,PERIOD,INCLINATION,APOGEE,PERIGEE,LAUNCH_YEAR,CURRENT,EXPECTED_LIFETIME_YRS,LAUNCH_MASS_KG,TIME_IN_ORBIT,COUNTRY_GROUPED_CIS,COUNTRY_GROUPED_PRC,COUNTRY_GROUPED_REST,COUNTRY_GROUPED_UK,COUNTRY_GROUPED_US,PURPOSE_COMMUNICATIONS,PURPOSE_EARTH_OBSERVATION,PURPOSE_OTHER,PURPOSE_TECHNOLOGY_DEVELOPMENT,RCS_SIZE_ENC,CLASS_OF_ORBIT_ENC
STARLINK-2462,48121,PAYLOAD,Non-Polar Inclined,US,LEO,0.006143653287484438,0.5381024860476914,0.011163255671878038,0.011583553037527347,0.9130434782608603,1.0,0.15384615384615385,0.04203323558162268,0.1256339326878746,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
GSAT 11,43824,PAYLOAD,,IND,GEO,0.9995923993596963,0.00040588533739218665,0.9906139790619533,0.9991024849946711,0.7826086956521721,1.0,1.0,0.953405017921147,0.22418165053019823,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6666666666666666
STARLINK-1712,46581,PAYLOAD,Non-Polar Inclined,US,LEO,0.006143653287484438,0.5381024860476914,0.011163255671878038,0.011583553037527347,0.8695652173912976,1.0,0.15384615384615385,0.04203323558162268,0.14672660212079297,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
COSMOS 2490,39485,PAYLOAD,Polar,CIS,LEO,0.021165589612853503,0.8367326230339929,0.03790508455749632,0.037723677567734336,0.5652173913043441,1.0,0.23076923076923078,0.045291625936787226,0.43222683264177036,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-1454,45671,PAYLOAD,Non-Polar Inclined,US,LEO,0.006143653287484438,0.5381024860476914,0.011163255671878038,0.011583553037527347,0.8695652173912976,1.0,0.15384615384615385,0.036656891495601175,0.16101890272014752,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-4631,53786,PAYLOAD,Non-Polar Inclined,US,LEO,0.005876860141103932,0.5397260273972602,0.010691177695704091,0.011106748190946317,0.956521739130423,1.0,0.15384615384615385,0.04203323558162268,0.06546795758414015,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
ONEWEB-0430,50501,PAYLOAD,Polar,UK,LEO,0.016229916404814138,0.8918315575849821,0.029018910888339678,0.02958994783194032,0.9130434782608603,1.0,0.23076923076923078,0.023786249592701206,0.09520516366989396,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-1068,44772,PAYLOAD,Non-Polar Inclined,US,LEO,0.006143653287484438,0.5381024860476914,0.011163255671878038,0.011583553037527347,0.8260869565217348,1.0,0.15384615384615385,0.036656891495601175,0.18476256339326877,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
RAPIS-1,43932,PAYLOAD,Sun-Synchronous,JPN,LEO,0.0003705460366395935,0.9857940131912734,0.0006942323179028632,0.0007572782857463399,0.8260869565217348,0.0,0.0,0.03225806451612904,0.17773167358229597,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0
SICRAL 1,26694,PAYLOAD,,IT,GEO,0.006032489476492556,0.5398274987316082,0.010996639915581351,0.011387221630111629,0.043478260869562746,1.0,0.7692307692307693,0.42261322906484194,0.9744121715076071,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6666666666666666
AISTECHSAT-3,44103,PAYLOAD,Sun-Synchronous,SPN,LEO,8.152012806070252e-05,0.9857940131912734,0.00022215434172891558,0.0001402367195826558,0.8260869565217348,0.0,0.23076923076923078,4.8875855327468176e-05,0.15145228215767634,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
STARLINK-1717,46673,PAYLOAD,Non-Polar Inclined,US,LEO,0.0027939171162625204,0.5381024860476914,0.00522062703062953,0.005272900656307847,0.8695652173912976,0.0,0.15384615384615385,0.04203323558162268,0.10039188566159521,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
ELEKTRO-L,37344,PAYLOAD,,CIS,GEO,0.9997850832987488,0.08838153221714866,0.9904195940129404,0.999579289841252,0.4782608695652186,1.0,0.6153846153846154,0.28739002932551316,0.5555555555555556,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6666666666666666
STARLINK-1466,45732,PAYLOAD,Non-Polar Inclined,US,LEO,0.0019935376771210017,0.5380010147133434,0.0036377773458110023,0.0038424861165647613,0.8695652173912976,0.0,0.15384615384615385,0.036656891495601175,0.11606731212540342,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
YAOGAN 16C,39013,PAYLOAD,Non-Polar Inclined,PRC,LEO,0.014621746605798305,0.6427194317605276,0.034517230846130356,0.01842710495316094,0.5217391304347814,1.0,0.3230769230769231,0.2441837732160313,0.47775472568003685,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
STARLINK-3291,50175,PAYLOAD,Non-Polar Inclined,US,LEO,0.006032489476492556,0.5398274987316082,0.010968870622865235,0.011387221630111629,0.9130434782608603,1.0,0.15384615384615385,0.04203323558162268,0.0962425080682342,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
STARLINK-2523,48306,PAYLOAD,Non-Polar Inclined,US,LEO,0.006143653287484438,0.5381024860476914,0.011163255671878038,0.011611600381443878,0.9130434782608603,1.0,0.15384615384615385,0.04203323558162268,0.12309820193637619,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
